Student_ID,Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills
1048,22,Female,B.Tech,ECE,6.29,0,3,4,6
37820,20,Female,BCA,ECE,6.05,1,4,6,8
49668,22,Male,MCA,ME,7.22,1,4,6,6
19467,22,Male,MCA,ME,7.78,2,4,6,6
23094,20,Female,B.Tech,ME,7.63,1,4,6,5
8710,20,Male,BCA,ECE,7.99,1,4,5,7
24363,21,Male,MCA,ECE,7.5,1,4,6,4
27448,19,Male,B.Tech,ME,8.0,0,4,4,5
23663,24,Male,BCA,Civil,6.24,0,3,3,10
39336,23,Male,B.Sc,ME,7.08,2,4,7,6
21919,18,Female,MCA,Civil,5.42,0,2,1,7
11924,19,Male,MCA,ECE,7.48,2,5,9,8
11236,19,Male,B.Sc,CSE,7.58,1,5,8,1
31588,18,Male,B.Tech,ECE,6.74,2,4,7,6
11221,19,Female,MCA,ECE,6.11,1,3,5,5
6245,18,Male,BCA,ECE,6.79,0,3,5,5
41110,23,Female,B.Sc,IT,7.41,0,3,3,5
46279,18,Female,B.Sc,CSE,5.97,0,3,6,4
25157,23,Male,B.Tech,CSE,6.69,1,4,8,7
42829,20,Male,BCA,Civil,7.95,1,4,5,6
32822,18,Female,B.Tech,ME,7.3,1,4,7,8
10557,18,Female,MCA,ME,7.02,0,3,3,8
33595,23,Female,BCA,ECE,7.29,0,3,3,6
49018,21,Male,BCA,ME,7.69,1,3,4,5
2359,24,Male,BCA,CSE,8.47,2,5,9,3
16180,24,Female,B.Tech,ECE,7.97,1,4,7,5
19260,23,Male,B.Tech,ECE,7.58,2,4,5,4
26634,23,Female,MCA,Civil,7.08,2,4,7,7
9097,24,Female,B.Sc,CSE,6.89,1,4,8,5
19470,24,Male,B.Tech,ECE,7.49,2,4,5,3
32452,20,Male,BCA,IT,6.69,1,3,4,7
49309,21,Female,MCA,ME,6.29,1,3,3,4
32207,20,Female,B.Sc,Civil,8.0,0,4,5,7
48115,21,Female,B.Tech,CSE,7.27,0,4,5,5
6121,24,Female,BCA,Civil,8.17,1,4,4,6
7729,23,Female,B.Sc,ECE,7.83,1,5,9,5
23604,19,Male,BCA,IT,6.9,1,4,6,7
31239,23,Male,MCA,Civil,5.22,0,3,4,4
2225,20,Male,BCA,CSE,6.09,1,3,5,5
32808,19,Male,MCA,IT,6.35,0,3,3,8
23466,24,Female,MCA,IT,5.63,1,3,6,5
49126,23,Female,BCA,CSE,7.78,1,4,7,6
38907,24,Female,B.Tech,CSE,7.67,3,5,8,6
28311,23,Male,B.Sc,CSE,5.52,0,3,4,6
18524,24,Female,BCA,ME,6.1,1,4,6,6
47147,21,Male,B.Tech,CSE,6.4,1,4,7,4
2211,23,Male,MCA,Civil,8.18,0,4,5,3
37778,23,Female,BCA,ECE,6.96,2,3,5,5
5966,18,Female,B.Tech,Civil,5.37,0,3,4,8
13568,22,Female,B.Sc,ME,7.72,0,3,3,5
28638,24,Female,B.Sc,IT,6.04,0,3,3,7
41047,24,Female,MCA,IT,8.64,0,4,5,5
40879,19,Female,BCA,ECE,8.19,1,5,7,4
6762,19,Male,BCA,ECE,6.74,1,4,6,8
42255,23,Male,BCA,Civil,6.96,1,3,4,3
23033,19,Male,B.Tech,ME,8.03,3,5,7,6
27410,22,Male,B.Sc,Civil,9.04,1,5,6,5
47521,21,Male,B.Sc,ME,7.61,1,4,6,7
14363,19,Female,MCA,ME,8.09,1,5,7,5
40101,24,Male,BCA,ME,7.04,1,3,2,6
24795,22,Female,B.Sc,ME,6.52,0,3,4,4
15317,23,Female,BCA,IT,6.31,0,2,2,5
797,21,Male,B.Sc,ECE,6.59,1,3,5,6
24402,18,Female,B.Tech,Civil,5.92,1,3,5,5
25030,19,Male,MCA,ECE,7.27,1,5,9,6
17501,20,Male,B.Sc,IT,5.85,0,3,6,5
33157,20,Female,B.Tech,Civil,7.5,2,4,5,7
17136,20,Female,BCA,CSE,7.08,1,4,6,5
11116,21,Female,B.Tech,Civil,9.26,2,5,8,5
566,20,Female,B.Sc,ECE,8.21,1,5,7,5
28149,19,Male,MCA,IT,6.79,0,3,5,4
36158,22,Female,BCA,Civil,7.06,0,3,4,8
34113,23,Female,B.Sc,IT,6.04,1,3,5,6
33813,18,Male,B.Tech,IT,7.27,1,5,10,4
13532,20,Female,BCA,CSE,7.56,2,5,8,8
18196,22,Female,B.Sc,CSE,5.75,0,3,4,4
26571,21,Female,B.Sc,IT,5.8,1,3,5,6
42396,24,Male,B.Sc,CSE,6.12,2,3,5,7
36419,19,Male,B.Tech,ME,5.76,0,2,2,8
28823,22,Female,BCA,IT,8.68,1,5,8,6
6394,24,Female,B.Sc,CSE,7.59,2,4,7,4
21290,18,Male,BCA,ME,9.11,2,5,7,4
6805,24,Male,MCA,ME,6.5,1,3,5,6
19689,24,Female,B.Sc,Civil,7.38,1,3,4,3
975,21,Male,BCA,Civil,6.54,1,3,5,5
49932,22,Male,MCA,ECE,6.7,0,3,5,6
49123,23,Female,BCA,ME,6.59,0,4,7,6
35364,24,Male,B.Tech,ECE,9.16,2,6,9,5
24709,24,Female,B.Sc,IT,9.15,1,6,10,5
25786,18,Male,B.Sc,Civil,7.56,1,4,7,6
10246,19,Female,MCA,CSE,6.3,1,4,7,4
39880,19,Female,MCA,ME,6.32,1,4,7,5
46152,19,Female,MCA,ME,7.77,2,4,6,5
30535,20,Male,BCA,CSE,7.38,2,5,10,7
46827,24,Male,MCA,ECE,8.07,1,5,9,7
26034,19,Male,BCA,Civil,7.01,0,3,4,3
48780,22,Male,B.Sc,ME,5.07,0,2,2,6
42958,19,Female,MCA,ECE,6.47,1,3,5,8
8967,22,Male,BCA,Civil,8.8,0,4,6,4
8339,21,Male,B.Sc,IT,7.63,1,4,6,3
28340,21,Male,BCA,Civil,5.88,1,3,4,1
19747,20,Male,B.Sc,ECE,5.35,0,2,3,2
25437,24,Female,B.Sc,IT,6.38,0,3,4,4
34144,21,Male,B.Sc,Civil,7.59,0,4,6,4
44239,24,Male,BCA,ECE,6.75,0,2,2,5
9890,22,Female,BCA,Civil,7.27,1,3,3,6
46794,23,Male,B.Tech,CSE,7.68,2,4,6,5
15719,20,Male,B.Tech,IT,7.58,2,4,7,8
2368,24,Male,B.Tech,ECE,6.79,0,3,5,4
7377,18,Female,MCA,CSE,7.83,1,4,7,3
6443,19,Male,B.Sc,IT,6.21,0,3,3,3
25267,23,Male,B.Tech,IT,7.12,1,4,6,5
15695,21,Male,BCA,ECE,6.31,0,4,6,5
30610,21,Male,B.Sc,ME,4.87,0,1,1,3
46904,22,Male,BCA,ME,6.97,0,3,5,6
21842,23,Male,MCA,IT,8.4,1,5,9,6
44303,20,Female,BCA,ECE,6.05,0,3,4,5
40656,19,Female,MCA,ECE,6.99,1,4,6,5
9728,18,Male,B.Tech,ME,8.04,1,4,5,6
40939,19,Male,MCA,CSE,4.5,0,1,1,4
29131,20,Female,BCA,ME,6.38,0,3,4,5
16893,24,Male,B.Sc,CSE,8.15,1,4,6,8
33505,24,Female,B.Sc,IT,7.37,1,5,8,4
23651,24,Female,BCA,ME,6.54,1,4,7,8
30744,24,Female,MCA,Civil,6.62,0,3,3,7
3478,24,Female,MCA,CSE,6.78,1,4,7,5
39396,18,Female,B.Tech,ME,6.71,0,3,3,8
28109,20,Male,MCA,Civil,6.79,0,3,4,4
26965,22,Male,BCA,IT,7.08,2,5,9,4
20904,22,Female,MCA,ECE,7.78,2,5,8,3
35532,24,Female,BCA,CSE,7.62,1,4,6,5
2164,23,Male,B.Tech,CSE,5.81,0,4,7,3
42743,21,Female,MCA,IT,7.08,1,4,7,2
19179,21,Female,B.Sc,ECE,7.14,1,4,6,8
41621,24,Female,B.Tech,ME,8.46,2,6,10,6
47709,21,Female,B.Tech,ECE,6.19,0,3,3,8
43266,19,Male,B.Tech,IT,7.89,1,5,8,4
1212,18,Male,B.Sc,ECE,6.74,0,4,7,5
44694,19,Male,B.Sc,Civil,8.5,1,4,5,5
3796,20,Female,MCA,ECE,8.63,0,4,4,7
29353,24,Male,B.Sc,ME,6.67,1,4,6,5
48063,24,Female,MCA,IT,7.03,2,4,7,4
2580,22,Male,MCA,ECE,7.7,0,4,6,7
1254,21,Male,B.Tech,CSE,6.87,1,4,7,5
24377,19,Male,B.Sc,CSE,7.3,2,5,8,5
22499,18,Female,MCA,ME,7.78,1,4,6,6
42536,23,Male,B.Tech,Civil,6.05,0,3,5,3
19584,22,Female,MCA,IT,5.47,0,3,4,2
32801,23,Female,BCA,IT,8.03,2,6,10,6
10665,20,Male,MCA,CSE,6.21,0,4,7,5
11079,21,Female,B.Tech,Civil,8.0,2,5,8,9
37604,22,Female,B.Tech,ECE,5.66,0,2,1,6
46256,18,Female,MCA,Civil,8.44,1,5,8,7
9161,23,Female,B.Sc,CSE,6.15,0,4,6,7
6398,22,Female,MCA,ECE,5.54,1,3,5,6
17978,22,Male,BCA,ECE,8.29,3,5,8,5
38972,19,Male,MCA,ME,6.55,0,3,4,4
42368,20,Male,B.Sc,IT,7.59,2,5,9,8
2593,23,Female,B.Tech,IT,7.63,1,5,8,7
4742,20,Male,BCA,ME,7.17,1,3,3,5
38667,24,Female,BCA,IT,7.95,1,5,9,6
13641,22,Male,BCA,ECE,6.35,0,3,5,6
23399,18,Male,MCA,Civil,8.18,3,5,7,8
46669,21,Male,MCA,ME,6.38,0,4,6,9
24731,21,Female,B.Tech,CSE,6.06,1,3,4,4
10890,22,Male,B.Sc,ME,8.39,0,4,6,7
19397,19,Female,B.Sc,ME,6.41,0,3,5,2
38635,24,Male,B.Sc,IT,7.26,0,4,5,6
48580,23,Female,BCA,CSE,6.99,2,3,5,3
11196,18,Female,MCA,CSE,6.57,0,4,6,6
8306,22,Male,B.Tech,ECE,7.44,0,4,5,6
25127,22,Female,B.Sc,CSE,7.55,2,4,6,3
14054,23,Female,MCA,ECE,7.68,2,5,8,6
41037,18,Male,BCA,CSE,6.41,0,4,8,4
46316,22,Male,MCA,ECE,8.03,0,4,4,5
35290,24,Female,BCA,CSE,8.35,1,5,9,7
35172,22,Male,B.Sc,ME,6.84,2,3,5,3
31797,22,Female,B.Sc,CSE,4.95,0,3,5,6
18889,18,Female,MCA,IT,7.79,0,4,5,4
38615,22,Male,BCA,Civil,4.58,0,2,2,6
42040,19,Male,B.Tech,Civil,7.68,0,4,5,5
13268,23,Male,B.Tech,CSE,6.27,1,4,6,5
43822,23,Male,MCA,IT,6.71,0,3,4,7
43013,24,Male,B.Tech,IT,6.43,0,4,7,5
4808,22,Female,BCA,ME,7.16,1,3,4,5
31804,20,Female,MCA,CSE,6.91,1,4,8,7
27261,22,Female,B.Sc,Civil,6.12,1,3,4,5
35353,22,Male,B.Sc,ECE,7.84,3,5,8,7
2419,24,Female,B.Tech,ECE,7.65,0,3,4,6
43696,20,Male,B.Tech,IT,8.92,2,5,7,6
43803,19,Female,B.Sc,ECE,7.78,2,4,7,7
47823,20,Male,BCA,ME,7.4,0,4,5,6
21095,19,Male,B.Tech,IT,6.41,1,3,5,6
4721,23,Male,B.Sc,ECE,6.57,1,3,4,5
11,24,Male,B.Tech,ME,6.6,2,3,5,5
38401,19,Female,BCA,IT,5.94,1,3,6,10
29951,22,Male,B.Sc,CSE,7.87,1,5,9,4
5508,21,Female,MCA,ECE,7.56,0,4,6,5
23345,22,Male,B.Tech,Civil,8.41,0,4,6,7
18664,24,Male,BCA,CSE,5.14,1,3,6,7
23846,19,Female,MCA,ME,5.38,0,3,4,5
32100,18,Female,B.Sc,CSE,5.65,0,3,4,6
19569,21,Male,B.Tech,CSE,7.22,0,3,4,3
37475,22,Male,MCA,ECE,6.9,1,3,5,7
24713,19,Female,MCA,IT,7.62,2,4,7,4
9203,18,Male,B.Sc,Civil,7.06,1,3,4,7
30208,22,Male,B.Tech,IT,7.12,1,5,8,5
7646,22,Male,B.Sc,ECE,7.17,0,4,6,5
28752,24,Female,B.Tech,ME,7.62,0,4,5,7
29798,18,Female,MCA,IT,6.77,0,4,6,5
49160,19,Male,B.Tech,Civil,7.25,1,4,6,5
6490,20,Female,B.Sc,IT,6.57,0,4,7,9
12014,21,Female,B.Tech,Civil,6.41,0,3,4,4
33385,20,Female,B.Sc,Civil,6.61,2,4,8,5
45098,19,Male,B.Tech,IT,7.43,1,5,9,5
123,22,Female,BCA,Civil,7.56,0,4,5,7
12799,20,Female,BCA,Civil,8.08,0,3,2,6
42688,23,Male,MCA,Civil,5.86,0,2,3,2
9040,18,Male,B.Tech,ME,6.89,0,4,6,6
34079,24,Male,MCA,IT,7.11,0,4,6,5
30985,20,Male,MCA,CSE,7.64,1,4,7,3
2879,24,Male,MCA,ME,7.7,1,4,6,3
39197,18,Female,MCA,IT,7.05,2,5,8,5
48168,24,Male,BCA,ME,6.47,0,3,4,6
48352,24,Female,MCA,IT,7.96,2,5,8,6
38742,19,Female,B.Sc,ME,4.93,0,2,2,7
535,22,Female,BCA,ME,6.77,0,3,4,3
15775,20,Female,MCA,ME,9.0,1,4,5,6
47842,21,Male,MCA,IT,9.3,1,6,9,5
28762,20,Male,BCA,CSE,5.86,0,3,5,4
4350,20,Male,BCA,Civil,8.0,0,4,4,5
37772,24,Female,B.Sc,IT,8.01,2,5,7,5
6402,19,Female,BCA,Civil,7.14,1,4,6,5
34174,20,Female,BCA,Civil,7.02,1,4,5,3
7988,21,Male,B.Tech,ME,8.11,1,5,7,7
46910,22,Female,BCA,IT,8.68,2,6,10,4
35929,19,Male,BCA,ECE,6.54,0,4,8,8
25122,21,Female,B.Sc,CSE,7.04,0,4,6,9
48656,23,Female,MCA,ME,8.86,1,5,7,5
19406,18,Male,BCA,ECE,6.71,0,3,4,7
37004,20,Male,B.Sc,ME,7.85,1,5,8,4
41120,21,Female,B.Sc,Civil,7.83,0,3,4,6
152,24,Male,B.Sc,Civil,6.53,0,3,4,7
41008,18,Female,B.Sc,ECE,6.47,0,3,4,5
9192,19,Female,MCA,ME,7.48,0,3,3,7
46158,23,Female,B.Sc,Civil,8.06,0,4,5,4
12927,18,Female,BCA,ME,6.24,0,3,4,6
44510,23,Female,BCA,ME,6.94,0,4,6,4
45414,20,Female,B.Tech,ME,7.46,0,3,4,5
16676,21,Male,BCA,CSE,6.93,0,4,8,6
47974,24,Female,B.Sc,ME,6.04,0,2,2,5
12534,22,Male,MCA,ME,8.37,3,5,7,5
8822,23,Male,B.Sc,IT,6.82,0,4,6,5
35425,20,Female,B.Tech,Civil,6.43,0,3,4,8
14969,19,Female,BCA,ECE,6.12,1,4,7,4
14984,22,Male,B.Tech,CSE,8.74,3,6,10,8
43030,20,Male,B.Sc,IT,7.57,1,5,8,5
30562,20,Female,BCA,ECE,6.64,0,3,3,7
39801,20,Male,BCA,ECE,5.12,2,3,5,6
1713,22,Male,B.Sc,CSE,7.19,2,4,7,6
13038,23,Female,MCA,ECE,6.02,0,3,4,8
25153,21,Male,B.Sc,ECE,7.07,1,5,8,7
43856,18,Male,BCA,IT,7.76,1,5,9,4
33717,20,Male,BCA,Civil,7.49,1,4,5,6
1916,19,Female,B.Tech,ECE,6.23,2,3,5,6
28717,23,Male,B.Sc,ME,7.14,2,4,6,6
26567,22,Female,MCA,IT,6.97,0,5,10,5
23893,20,Female,B.Sc,ECE,7.7,1,4,6,5
36582,19,Female,MCA,IT,7.13,2,5,8,9
34738,23,Female,BCA,Civil,5.26,1,3,6,6
26933,19,Male,B.Sc,ECE,8.35,2,5,9,5
17500,24,Female,B.Sc,ECE,7.39,1,4,7,6
14775,22,Male,BCA,ECE,8.13,1,4,6,4
32438,24,Male,B.Tech,ME,5.57,0,2,3,5
13295,20,Male,BCA,ME,4.5,0,1,1,7
22051,19,Female,MCA,CSE,8.82,3,6,10,2
37590,23,Male,BCA,IT,6.94,1,4,7,5
13784,19,Male,MCA,ECE,6.5,1,4,6,4
23825,21,Female,B.Tech,Civil,6.22,1,4,7,6
6401,23,Male,B.Tech,CSE,5.03,2,3,5,4
10,22,Male,B.Sc,ECE,7.3,1,4,7,4
18081,22,Female,MCA,ECE,5.43,0,3,4,6
12807,22,Female,B.Sc,CSE,5.37,0,3,4,7
46308,18,Female,MCA,ME,5.36,1,2,1,6
46528,20,Female,MCA,CSE,6.7,1,3,4,6
36967,22,Female,B.Tech,ECE,6.31,0,3,4,3
3245,20,Female,B.Tech,Civil,8.61,1,5,7,8
22487,18,Female,MCA,ECE,6.0,0,3,5,8
47808,22,Male,MCA,IT,7.53,0,4,5,4
8334,22,Female,MCA,ME,8.4,0,4,5,5
3834,21,Female,MCA,IT,5.47,2,4,7,4
14903,23,Male,B.Sc,CSE,6.47,0,5,9,5
22492,23,Female,B.Tech,ECE,7.81,2,4,7,5
4760,18,Female,MCA,CSE,6.87,0,4,8,6
35009,19,Male,B.Sc,ME,6.68,2,4,6,5
44178,24,Female,BCA,CSE,7.22,3,4,7,6
26635,21,Female,BCA,ME,6.92,1,4,6,4
49328,22,Male,BCA,Civil,8.38,2,5,7,6
27058,21,Male,BCA,Civil,7.25,1,4,6,8
3820,20,Male,BCA,IT,9.44,1,6,10,8
25904,18,Male,MCA,IT,7.6,0,4,6,6
30413,18,Male,B.Tech,CSE,9.52,1,6,9,6
